Constituency_Number,Total_Number_of_Electors,Elected_Person_Name,Total_Candidates,Total_Polling_Stations,Candidate_1_Name,Candidate_1_Votes,Candidate_2_Name,Candidate_2_Votes,Candidate_3_Name,Candidate_3_Votes,Candidate_4_Name,Candidate_4_Votes,Candidate_5_Name,Candidate_5_Votes,Candidate_6_Name,Candidate_6_Votes,Candidate_7_Name,Candidate_7_Votes,Candidate_8_Name,Candidate_8_Votes,Candidate_9_Name,Candidate_9_Votes,Candidate_10_Name,Candidate_10_Votes,Total_Valid_Votes,Total_Rejected_Votes,Total_NOTA_Votes,Grand_Total_Votes
63,258966,B a n s o d Dili p W a m a n,11,331,B a d ol e R aj k u m a r S u d a m,50734,B a n s o d Dili p W a m a n,81881,B h a v e s h Utt a m K u m b h a r e,65295,S a c hi n k u m a r N a n d g a y e,595,A nil R a vi s h a n k a r R a ut,1503,K a s h My e s h a p rB a m hi m r a o,167,C h a n d Mri ak na op hu ar r e S u g at,304,Di Pn e as n h c hR aa b hm r ai at a n,15368,Aj a y S u r e s h B a d ol e,5512.0,Aj a y S a m b h aji L a nj e w a r,355.0,564,1165,0,1729
65,325556,doniV lawargA,12,353,lalraknahS sadlapoG lawargA,78995,doniV lawargA,138597,marhseM nagahuS ardneraN,4214,yrahduahC ramuknamaR hseruS,488,eyoD laltavnaH ram ukhsejaR,61,dosnaB maradaS hsitaS,973,eyihbjaG oarogaN nurA,80,eladgnahaR ijamoS hsakarpmO,62,ekdiT sadmaR dnivoG,109.0,edahciL )ula B(rahkeh sardnahC,290.0,102,187,0,289
77,288150,EKRUP IJUHDNIHC TNASAV,11,338,MARHSEM ITURAM KOHSA,59163,EKIOOW IJAMAR KOHSA .RD .FORP,1954,EKRUP IJUHDNIHC TNASAV,97589,EHTEMLUK NAHBARDNAHC DNIVRA,94818,ERMUK LAPYAJ NARIK,1610,EWOK SADIVED NAWIJ,2830,ERUHAM OARTORAM SADMAR,354,ESOGAN NURA ANRAVUS,230,MAKET ULAPAK VAHDDU,1240.0,MADEG VEDUSAW OARNABAB,2624.0,204751,0,0,204751
78,371435,NAMA IAHB,11,427,RAKLUGNAM OARRAKNAHS BEHASALAB SAILA LINA,91378,NAMA IAHB,115605,RAWAREY RAKUHDAM NADAM,2407,LINA NIPIB YRAHDUAHC,105272,RUKAHT HGNISPILID MARAHD,2108,ERAMHGAW JARIN.RD,155,NAHK NAMEHAR NAHK RIBBAHS,5336,EDAHKNAW DNANA PEEDRAMA,164,RAWAMOK HSAKARPMO LOMA,150.0,EDA MARAHKAS NANAJAG,71.0,99,146,0,245
80,322160,IVADAM OARDNANA ATEEN,11,365,EHGOM IJAVIHS ARDNETIJ,68325,MAYOS SAWINIRS NABAB,94633,MASDOT NAYARAN UJAR,1639,IVADAM OARDNANA ATEEN,123742,ETADA ITORAM ARDNAHCMAR,1757,MARTA ATTAD YAJA .VDA,310,ERUBMA OARMAR NASIK .FORP,1302,OARVAHDAM ANHSURKMAR EPADOK,121,MARTA ABMIL NAHDRAVOG,771.0,EKIU OARDNIVOG TNAKARDNAHC,151.0,405,547,0,952
83,278803,ELOHD OARIJAHBMAS KOHSA,11,324,EPRAS IJALLAM RAHDAGNAG,53630,KIAN PEEDARP VAHDAJ,658,MAREK IJMAR OARMIHB,84062,ELOHD OARIJAHBMAS KOHSA,90580,IJAMOG KILADNUP ELMA .RD,5200,ILA NARMI .S,4436,RAWEHTEJ ANNABMAS DNIVOG,198,RAWAP RASEK ATNAWIAJ,136,)KIAN( OARVAHDAM NIHCAS VAHDAJ,172.0,EGNASLUK OARLINA ARDNETIJ,5441.0,228,571,0,799
84,299252,TUAR OARAVED HSENAG,11,332,MADAK OARUBAB RAKILHOK,56023,TUAR OARAVED HSENAG,111252,LITAP OARITTURVIN OARVAHDAM RAKVAGLAWAJ,1029,MADAK RABMAGID LINA,81315,DOHTAR ALAA PILID,745,OARADAD VAHDAM RAKRASVED,11080,EDOKAW IJMAR OARUPAB,1263,ETAWAS NAYARAN SALIV,200,RAKRASVED OARLAHTTIV TIJIHBA,291.0,)RAGAS -K .FORP( RAKILOK LITAP RAGASRIHSK IJAHBRUP RAMUKNIVHSA .RD .FORP,113.0,126,141,0,267
85,303352,RAWLATAJ OARTNAKAYRUS DASARPIAS,11,344,OARUBAB UPPAP SAILA ITAPURIT RAKEHDNOK MADAK,59340,ETNADUOHC OARGNARUDNAP RAMUKHSELMAK,81990,OARKOHSA AYAJEERS NAVAHC,1647,RAWLATAJ OARTNAKAYRUS DASARPIAS,131966,DOHTAR MARATEES RAMUKNUJRA.RD,844,DEMHA FATLA ANATLUS RASUAK,103,MADAK SADIVED ITAPURIT,91,ENOL MARITKUM HSENID,114,DAWESIHG NAMXAL HTANGAN,394.0,HKIAHS QAZZAR .A DUSHKAM,1243.0,8833,270,0,9103
86,359073,EKDOHG OARNAHSIK LAHTTIV,11,359,ROOFFAG A RATTAS LUDBA,64620,RAKNAYLAK OARSADIVED IJALAB,78851,EKDOHG OARNAHSIK LAHTTIV,81680,ELUSRA OARTAKNAYV VIHSADAS,1344,LITAP LAHTIV ATIGNAS,521,NAHK RABKA,22294,HKIAHS LUSAR DAMEHA,184,NAHK .G .N .VDA,89,OARMAR PIDARP ERBUG,56.0,IJMARATTAD NANAJAG LAMUHD,132.0,214,23928,0,24142
87,317052,EDRABMAH OARTORAM OARNAHOM,11,312,EKDIT RAKNAHS DNANA,48828,EDRABMAH OARTORAM OARNAHOM,60025,ELBMAK MARAGNAG IRAHIRHS,57554,REDAUQ LUDBA DEMHA ZAJIA,658,IRBAJLA RADAB NIB RAMAQ,422,DEMHA EUQOORAF,315,DOHTAR OARDNIVOG NIHCAS,33558,RATHKUM DEYS NIOM DEYS,359,DAWELA RABMAGID YAJNAS,15319.0,HKUMHSED TNAKIMXAL AYTIDA,559.0,302,150,0,452
